iteration,recall,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
188,0.9518510663679864,2022-09-23 21:08:57.890439,2022-09-23 21:09:41.394550,0 days 00:00:43.504111,22.0,343.0,114.0,8.0,477.0,286.0,COMPLETE
199,0.951844438847872,2022-09-23 21:17:43.712172,2022-09-23 21:18:30.105022,0 days 00:00:46.392850,19.0,339.0,113.0,6.0,494.0,307.0,COMPLETE
10,0.9518435187731744,2022-09-23 18:23:17.958398,2022-09-23 18:23:53.787275,0 days 00:00:35.828877,35.0,350.0,79.0,4.0,470.0,182.0,COMPLETE
185,0.9518411250878146,2022-09-23 21:06:43.895963,2022-09-23 21:07:28.012431,0 days 00:00:44.116468,22.0,347.0,106.0,9.0,472.0,291.0,COMPLETE
174,0.9518378113277574,2022-09-23 20:58:34.186615,2022-09-23 20:59:15.634908,0 days 00:00:41.448293,23.0,337.0,104.0,9.0,484.0,272.0,COMPLETE
240,0.9518278700475856,2022-09-23 21:49:09.634322,2022-09-23 21:49:59.199217,0 days 00:00:49.564895,21.0,346.0,112.0,25.0,479.0,327.0,COMPLETE
241,0.9518278700475856,2022-09-23 21:49:59.199505,2022-09-23 21:50:43.414374,0 days 00:00:44.214869,20.0,348.0,106.0,6.0,495.0,291.0,COMPLETE
276,0.951821242527471,2022-09-23 22:15:13.197339,2022-09-23 22:15:59.924177,0 days 00:00:46.726838,20.0,343.0,116.0,5.0,474.0,307.0,COMPLETE
222,0.9518146150073565,2022-09-23 21:34:59.811905,2022-09-23 21:35:48.902677,0 days 00:00:49.090772,21.0,346.0,119.0,5.0,485.0,324.0,COMPLETE
219,0.9518113012472993,2022-09-23 21:32:46.955912,2022-09-23 21:33:30.899872,0 days 00:00:43.943960,18.0,338.0,113.0,8.0,493.0,290.0,COMPLETE
183,0.9518113012472993,2022-09-23 21:05:12.931455,2022-09-23 21:05:58.032759,0 days 00:00:45.101304,22.0,342.0,105.0,10.0,482.0,297.0,COMPLETE
128,0.951807987487242,2022-09-23 20:22:20.093071,2022-09-23 20:23:07.911083,0 days 00:00:47.818012,21.0,349.0,117.0,5.0,464.0,316.0,COMPLETE
273,0.9518046737271848,2022-09-23 22:13:07.429865,2022-09-23 22:13:49.146960,0 days 00:00:41.717095,19.0,341.0,88.0,5.0,480.0,275.0,COMPLETE
108,0.9517980462070702,2022-09-23 20:05:19.004386,2022-09-23 20:06:27.914410,0 days 00:01:08.910024,26.0,336.0,75.0,5.0,444.0,460.0,COMPLETE
234,0.9517914186869557,2022-09-23 21:44:35.294655,2022-09-23 21:45:24.971631,0 days 00:00:49.676976,21.0,347.0,109.0,24.0,459.0,329.0,COMPLETE
231,0.9517847911668412,2022-09-23 21:41:51.233180,2022-09-23 21:42:39.793904,0 days 00:00:48.560724,22.0,345.0,117.0,5.0,474.0,320.0,COMPLETE
176,0.951781477406784,2022-09-23 20:59:59.735528,2022-09-23 21:00:42.392819,0 days 00:00:42.657291,22.0,338.0,99.0,10.0,492.0,282.0,COMPLETE
181,0.9517715361266121,2022-09-23 21:03:40.894211,2022-09-23 21:04:28.297010,0 days 00:00:47.402799,21.0,338.0,108.0,8.0,479.0,313.0,COMPLETE
31,0.9517673060801161,2022-09-23 18:45:56.796794,2022-09-23 18:46:36.717998,0 days 00:00:39.921204,35.0,350.0,77.0,4.0,464.0,204.0,COMPLETE
26,0.9517639924847657,2022-09-23 18:39:56.984915,2022-09-23 18:41:32.596757,0 days 00:01:35.611842,33.0,324.0,64.0,10.0,503.0,495.0,COMPLETE
156,0.9517615948464404,2022-09-23 20:44:56.211704,2022-09-23 20:45:37.203849,0 days 00:00:40.992145,21.0,348.0,116.0,6.0,509.0,269.0,COMPLETE
17,0.951747424508014,2022-09-23 18:29:08.914968,2022-09-23 18:30:10.299484,0 days 00:01:01.384516,30.0,341.0,69.0,17.0,475.0,315.0,COMPLETE
151,0.9517450260461541,2022-09-23 20:41:03.933950,2022-09-23 20:41:47.002626,0 days 00:00:43.068676,19.0,342.0,109.0,5.0,372.0,286.0,COMPLETE
39,0.9517407973173132,2022-09-23 18:54:20.696403,2022-09-23 18:55:41.114478,0 days 00:01:20.418075,27.0,319.0,91.0,31.0,460.0,416.0,COMPLETE
149,0.9517383985260395,2022-09-23 20:39:34.132476,2022-09-23 20:40:19.590916,0 days 00:00:45.458440,20.0,346.0,120.0,7.0,475.0,300.0,COMPLETE
129,0.9517383985260395,2022-09-23 20:23:07.911328,2022-09-23 20:24:02.558561,0 days 00:00:54.647233,20.0,350.0,120.0,5.0,453.0,362.0,COMPLETE
120,0.9517383985260395,2022-09-23 20:15:32.300279,2022-09-23 20:16:39.934503,0 days 00:01:07.634224,28.0,348.0,100.0,4.0,468.0,449.0,COMPLETE
95,0.9517350847659822,2022-09-23 19:51:08.661793,2022-09-23 19:51:56.144504,0 days 00:00:47.482711,32.0,342.0,76.0,5.0,453.0,314.0,COMPLETE
65,0.951731771005925,2022-09-23 19:25:13.312469,2022-09-23 19:25:56.379476,0 days 00:00:43.067007,32.0,344.0,112.0,7.0,477.0,282.0,COMPLETE
9,0.9517275429359118,2022-09-23 18:22:26.507759,2022-09-23 18:23:17.958253,0 days 00:00:51.450494,24.0,345.0,110.0,22.0,405.0,265.0,COMPLETE
131,0.9517251434858105,2022-09-23 20:24:52.006617,2022-09-23 20:25:41.393239,0 days 00:00:49.386622,22.0,347.0,118.0,6.0,474.0,326.0,COMPLETE
255,0.9517218297257533,2022-09-23 22:00:06.488042,2022-09-23 22:00:50.037755,0 days 00:00:43.549713,19.0,342.0,118.0,5.0,481.0,286.0,COMPLETE
154,0.9517152022056387,2022-09-23 20:43:19.295311,2022-09-23 20:44:06.213815,0 days 00:00:46.918504,18.0,349.0,118.0,5.0,502.0,308.0,COMPLETE
148,0.9517052609254669,2022-09-23 20:38:43.205842,2022-09-23 20:39:34.132223,0 days 00:00:50.926381,21.0,348.0,117.0,6.0,444.0,339.0,COMPLETE
102,0.9517019471654097,2022-09-23 19:57:22.280087,2022-09-23 19:58:44.755615,0 days 00:01:22.475528,18.0,347.0,65.0,5.0,436.0,552.0,COMPLETE
