iteration,roc_weighted,datetime_start,datetime_complete,duration,alpha,fit_intercept,l1_ratio,max_iter,normalize,selection,tol,state
1685,0.9304432484734579,2022-06-14 01:33:57.913458,2022-06-14 01:33:59.201703,0 days 00:00:01.288245,0.7234200979551108,True,0.276686321927908,4539323.0,False,random,0.08390799136413486,COMPLETE
1778,0.9304438040950397,2022-06-14 01:36:07.307546,2022-06-14 01:36:08.665033,0 days 00:00:01.357487,0.8022080087672715,True,0.24198633079953646,9444062.0,False,random,0.07944811527094192,COMPLETE
1456,0.9304439137610188,2022-06-14 01:28:59.030095,2022-06-14 01:29:00.536564,0 days 00:00:01.506469,0.5789451808095251,True,0.3377121345076924,8331307.0,False,random,0.08792319060031142,COMPLETE
1972,0.9304442500506421,2022-06-14 01:40:56.489115,2022-06-14 01:40:57.893670,0 days 00:00:01.404555,0.7375660843574849,True,0.2545044891548167,8405987.0,False,random,0.08845542098416236,COMPLETE
1454,0.9304445717568945,2022-06-14 01:28:56.645746,2022-06-14 01:28:57.849912,0 days 00:00:01.204166,0.738895683657837,True,0.2709332307566805,9107207.0,False,random,0.0837888569922033,COMPLETE
1083,0.9304445717568945,2022-06-14 01:21:49.937933,2022-06-14 01:21:51.261805,0 days 00:00:01.323872,0.5957302732995696,True,0.33750687569823834,7667867.0,False,random,0.08070814653511414,COMPLETE
318,0.9304446887145592,2022-06-14 00:19:32.023152,2022-06-14 00:19:32.709927,0 days 00:00:00.686775,1.0035442443087228,True,0.18934956116713847,6695923.0,False,random,0.08263827901153338,COMPLETE
578,0.9304446887145592,2022-06-14 00:22:44.047394,2022-06-14 00:22:44.858891,0 days 00:00:00.811497,0.6978394088263463,True,0.27410363805371546,8807614.0,False,random,0.09255853353790794,COMPLETE
1882,0.9304449080465177,2022-06-14 01:38:38.928986,2022-06-14 01:38:40.360009,0 days 00:00:01.431023,0.851528579406793,True,0.22664413027551428,8028019.0,False,random,0.08358891888192635,COMPLETE
1515,0.9304451273784764,2022-06-14 01:30:13.832244,2022-06-14 01:30:15.050919,0 days 00:00:01.218675,0.7715162497138042,True,0.2518393012584565,9461629.0,False,random,0.09192952200896086,COMPLETE
1795,0.9304452370444556,2022-06-14 01:36:32.105520,2022-06-14 01:36:33.454388,0 days 00:00:01.348868,0.7676370110273962,True,0.2540096038905222,9242537.0,False,random,0.08348331923338327,COMPLETE
1854,0.9304452370444556,2022-06-14 01:37:57.223330,2022-06-14 01:37:58.606579,0 days 00:00:01.383249,0.6009942437527224,True,0.3257896281875447,9033615.0,False,random,0.09045384204211512,COMPLETE
1065,0.9304452370444556,2022-06-14 01:21:31.319666,2022-06-14 01:21:32.329955,0 days 00:00:01.010289,0.636813374783026,True,0.3070751608078392,8509606.0,False,random,0.08171676467558692,COMPLETE
1244,0.9304452370444556,2022-06-14 01:24:45.009299,2022-06-14 01:24:46.093035,0 days 00:00:01.083736,0.5768210986863566,True,0.3393591903736944,8495081.0,False,random,0.08950306894391488,COMPLETE
1013,0.9304456830000581,2022-06-14 01:20:36.851346,2022-06-14 01:20:37.861110,0 days 00:00:01.009764,0.6384461023664069,True,0.29651505363004627,7600859.0,False,random,0.07863545982165322,COMPLETE
1483,0.9304458950403313,2022-06-14 01:29:32.982699,2022-06-14 01:29:34.173129,0 days 00:00:01.190430,0.7592946925998942,True,0.26386204311314815,9392409.0,False,random,0.08133525848134378,COMPLETE
1433,0.9304460119979959,2022-06-14 01:28:30.490676,2022-06-14 01:28:31.662489,0 days 00:00:01.171813,0.5714623509272482,True,0.33589855864212476,8411416.0,False,random,0.08798278048355371,COMPLETE
1619,0.9304460119979959,2022-06-14 01:32:29.077075,2022-06-14 01:32:30.344707,0 days 00:00:01.267632,0.6528768705631723,True,0.2932932079739216,9768282.0,False,random,0.08299495472426625,COMPLETE
1410,0.9304460119979959,2022-06-14 01:28:00.473466,2022-06-14 01:28:01.653921,0 days 00:00:01.180455,0.5500896751224518,True,0.3487281530056251,8841523.0,False,random,0.08345919601450165,COMPLETE
1092,0.9304461216639752,2022-06-14 01:21:59.416948,2022-06-14 01:22:00.430403,0 days 00:00:01.013455,0.5596853013072516,True,0.34501992713062035,7538446.0,False,random,0.08559370380226046,COMPLETE
1379,0.9304465603278923,2022-06-14 01:27:22.929280,2022-06-14 01:27:24.089721,0 days 00:00:01.160441,0.6522953135519561,True,0.30009961140831726,8978595.0,False,random,0.09007588386420874,COMPLETE
424,0.9304465603278923,2022-06-14 00:20:45.351326,2022-06-14 00:20:46.078779,0 days 00:00:00.727453,0.904758808375157,True,0.2150139526833612,7511559.0,False,random,0.0876555716837585,COMPLETE
1512,0.9304465603278923,2022-06-14 01:30:09.879676,2022-06-14 01:30:11.095445,0 days 00:00:01.215769,0.7864203729564584,True,0.24789252762442748,9500572.0,False,random,0.09354947728199317,COMPLETE
644,0.9304465603278923,2022-06-14 00:23:37.587432,2022-06-14 00:23:38.421208,0 days 00:00:00.833776,0.7249577796195921,True,0.2692952002783155,7872992.0,False,random,0.0872918633929397,COMPLETE
586,0.9304465603278923,2022-06-14 00:22:50.183728,2022-06-14 00:22:51.288892,0 days 00:00:01.105164,0.8733112130848305,True,0.2229565341736463,8925567.0,False,random,0.09306148492727234,COMPLETE
978,0.9304468966175156,2022-06-14 00:28:49.547288,2022-06-14 00:28:50.565229,0 days 00:00:01.017941,0.6144734605900783,True,0.30627074670914617,8203227.0,False,random,0.08664881728008503,COMPLETE
1533,0.9304468966175156,2022-06-14 01:30:36.708227,2022-06-14 01:30:37.924370,0 days 00:00:01.216143,0.7031444849563419,True,0.2672159696256419,9432538.0,False,random,0.08916527854092694,COMPLETE
1957,0.930447218323768,2022-06-14 01:40:33.610319,2022-06-14 01:40:35.029853,0 days 00:00:01.419534,0.63738879859958,True,0.31560417967123766,8942223.0,False,random,0.07970841395826762,COMPLETE
826,0.9304473352814326,2022-06-14 00:26:20.194648,2022-06-14 00:26:21.428721,0 days 00:00:01.234073,0.9129224472470391,True,0.20878040768928363,8468300.0,False,random,0.07910238891762117,COMPLETE
1230,0.9304473352814326,2022-06-14 01:24:28.939098,2022-06-14 01:24:30.295741,0 days 00:00:01.356643,0.6138784882103363,True,0.3124775709765327,9259979.0,False,random,0.08894854163521813,COMPLETE
832,0.9304473352814326,2022-06-14 00:26:25.879512,2022-06-14 00:26:26.803773,0 days 00:00:00.924261,0.9652810423594436,True,0.19732869850543955,7724682.0,False,random,0.08124262143409884,COMPLETE
561,0.9304473352814326,2022-06-14 00:22:29.858801,2022-06-14 00:22:30.662702,0 days 00:00:00.803901,0.8495667526984152,True,0.2248281081629306,8173791.0,False,random,0.08769751149104625,COMPLETE
1184,0.9304474449474119,2022-06-14 01:23:37.884218,2022-06-14 01:23:38.979082,0 days 00:00:01.094864,0.7181383166411818,True,0.2681424284438652,8223951.0,False,random,0.086187752599114,COMPLETE
1616,0.930447883611329,2022-06-14 01:32:24.889929,2022-06-14 01:32:26.154626,0 days 00:00:01.264697,0.6952529317279308,True,0.28104172922287163,9359108.0,False,random,0.08254647954524223,COMPLETE
827,0.930447883611329,2022-06-14 00:26:21.429397,2022-06-14 00:26:22.356080,0 days 00:00:00.926683,0.8725365257554585,True,0.22321405004293154,8159466.0,False,random,0.08493962614871489,COMPLETE
474,0.9304486585648692,2022-06-14 00:21:22.288344,2022-06-14 00:21:23.037377,0 days 00:00:00.749033,0.890091158661399,True,0.21462487532567823,7385585.0,False,random,0.08376008860597102,COMPLETE
749,0.9304490972287865,2022-06-14 00:25:09.206224,2022-06-14 00:25:10.195490,0 days 00:00:00.989266,0.8615731222185606,True,0.22554747445278492,7265837.0,False,random,0.08560102018873524,COMPLETE
449,0.9304490972287865,2022-06-14 00:21:03.967422,2022-06-14 00:21:04.713963,0 days 00:00:00.746541,0.9291255648686544,True,0.20895074437017422,7690267.0,False,random,0.08696960236079544,COMPLETE
430,0.9304492068947657,2022-06-14 00:20:49.924805,2022-06-14 00:20:50.667165,0 days 00:00:00.742360,1.0257544139877524,True,0.18955123706646096,7320307.0,False,random,0.08410135527874107,COMPLETE
1019,0.930449543184389,2022-06-14 01:20:42.836195,2022-06-14 01:20:44.179855,0 days 00:00:01.343660,0.48793864960979305,True,0.38675400042843866,9730928.0,False,random,0.08626299620170799,COMPLETE
1024,0.930449981848306,2022-06-14 01:20:48.121939,2022-06-14 01:20:49.122637,0 days 00:00:01.000698,0.5869311502006702,True,0.32761293393579805,8385313.0,False,random,0.08477147178965662,COMPLETE
1254,0.930449981848306,2022-06-14 01:24:56.223667,2022-06-14 01:24:57.307580,0 days 00:00:01.083913,0.597973253891137,True,0.32114767201389566,8856170.0,False,random,0.08814052011974349,COMPLETE
632,0.9304505301782025,2022-06-14 00:23:27.531938,2022-06-14 00:23:28.341667,0 days 00:00:00.809729,0.8708167362026432,True,0.2240179650088607,8091145.0,False,random,0.08842946492125603,COMPLETE
542,0.9304505301782025,2022-06-14 00:22:14.432843,2022-06-14 00:22:15.220187,0 days 00:00:00.787344,0.8509819296143583,True,0.2293381951439219,7373880.0,False,random,0.08725420127154584,COMPLETE
338,0.9304505301782025,2022-06-14 00:19:45.495288,2022-06-14 00:19:46.182791,0 days 00:00:00.687503,0.9446777091134468,True,0.2062999374523675,6454581.0,False,random,0.08489532707000652,COMPLETE
380,0.9304510785080988,2022-06-14 00:20:14.214822,2022-06-14 00:20:14.930681,0 days 00:00:00.715859,0.9697651974848055,True,0.20553602213843372,7585212.0,False,random,0.08093832153152941,COMPLETE
346,0.9304510785080988,2022-06-14 00:19:50.781543,2022-06-14 00:19:51.478668,0 days 00:00:00.697125,0.9903445831788216,True,0.20108360452084523,7184281.0,False,random,0.08316772991568887,COMPLETE
1112,0.9304511881740782,2022-06-14 01:22:20.444117,2022-06-14 01:22:21.471765,0 days 00:00:01.027648,0.7706766906141045,True,0.2608763277610002,8551633.0,False,random,0.0798035616093392,COMPLETE
893,0.9304511881740782,2022-06-14 00:27:24.746761,2022-06-14 00:27:25.693112,0 days 00:00:00.946351,0.74747274997512,True,0.2691073219558418,7368375.0,False,random,0.08235416148158918,COMPLETE
1228,0.9304513051317427,2022-06-14 01:24:26.888316,2022-06-14 01:24:27.991021,0 days 00:00:01.102705,0.6625549266296498,True,0.28988056154708586,8598065.0,False,random,0.08816042036850091,COMPLETE
1814,0.9304513051317427,2022-06-14 01:36:59.299041,2022-06-14 01:37:00.678241,0 days 00:00:01.379200,0.6431278463551192,True,0.2989014721495681,8378881.0,False,random,0.08098400313283272,COMPLETE
1572,0.9304514147977222,2022-06-14 01:31:27.405472,2022-06-14 01:31:28.687914,0 days 00:00:01.282442,0.6431925512118618,True,0.30055278201646685,9047200.0,False,random,0.0861343035601863,COMPLETE
1772,0.9304522994172418,2022-06-14 01:35:58.634437,2022-06-14 01:36:00.345713,0 days 00:00:01.711276,0.8517069368964487,True,0.2220530761618334,9451989.0,False,random,0.08118448647784131,COMPLETE
792,0.9304524017915355,2022-06-14 00:25:48.405222,2022-06-14 00:25:49.631420,0 days 00:00:01.226198,0.899031678616367,True,0.22205533740042127,8371892.0,False,random,0.07932698319702962,COMPLETE
