iteration,recall,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
629,0.9028466819221967,2022-07-03 00:20:44.829363,2022-07-03 00:20:46.515389,0 days 00:00:01.686026,4.3999999999999995,0.8305910409119802,351.0,37823826.0,l1,0.06724079186180885,COMPLETE
633,0.9028466819221967,2022-07-03 00:20:51.010886,2022-07-03 00:20:52.681741,0 days 00:00:01.670855,4.9,0.4034247141429476,328.0,35586819.0,l1,0.07004243245669582,COMPLETE
618,0.9028466819221967,2022-07-03 00:20:22.513099,2022-07-03 00:20:24.198049,0 days 00:00:01.684950,8.9,0.32295056564275443,303.0,34022200.0,l1,0.0689704820549834,COMPLETE
606,0.9028466819221967,2022-07-03 00:20:03.770138,2022-07-03 00:20:05.763249,0 days 00:00:01.993111,1.9000000000000001,0.7472637369912619,360.0,39608465.0,l1,0.066946666245705,COMPLETE
607,0.9028466819221967,2022-07-03 00:20:05.763846,2022-07-03 00:20:07.402747,0 days 00:00:01.638901,1.7000000000000002,0.896363715278785,349.0,47934986.0,l1,0.06685491667216,COMPLETE
1031,0.9028466819221967,2022-07-03 00:32:38.393558,2022-07-03 00:32:40.589959,0 days 00:00:02.196401,1.3000000000000003,0.32138817823999366,299.0,47942973.0,l1,0.0713828868064241,COMPLETE
608,0.9028466819221967,2022-07-03 00:20:07.403388,2022-07-03 00:20:09.084768,0 days 00:00:01.681380,9.9,0.9174311448440227,405.0,29932007.0,l1,0.06130874752652454,COMPLETE
609,0.9028466819221967,2022-07-03 00:20:09.085378,2022-07-03 00:20:10.786594,0 days 00:00:01.701216,9.9,0.9179782927450674,410.0,29398830.0,l1,0.06076869823111758,COMPLETE
610,0.9028466819221967,2022-07-03 00:20:10.787239,2022-07-03 00:20:12.467286,0 days 00:00:01.680047,2.7,0.24752023273162954,499.0,14290088.0,l1,0.07260318230152743,COMPLETE
1124,0.9028466819221967,2022-07-03 00:35:32.368045,2022-07-03 00:35:34.310436,0 days 00:00:01.942391,1.1,0.4410411195058306,385.0,43073954.0,l1,0.07252779651396897,COMPLETE
1013,0.9028466819221967,2022-07-03 00:32:05.812011,2022-07-03 00:32:07.676128,0 days 00:00:01.864117,1.0,0.13405720559424594,82.0,29891352.0,l1,0.06525917417737559,COMPLETE
