iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,solver,state
680,0.9648692737989603,2022-06-12 14:58:23.893244,2022-06-12 14:58:24.849204,0 days 00:00:00.955960,5.337696330418296,svd,COMPLETE
681,0.9648692737989603,2022-06-12 14:58:24.849745,2022-06-12 14:58:25.811190,0 days 00:00:00.961445,4.0940955327121165,svd,COMPLETE
709,0.9648692737989603,2022-06-12 14:58:51.230772,2022-06-12 14:58:52.188491,0 days 00:00:00.957719,6.058951782247453,svd,COMPLETE
710,0.9648692737989603,2022-06-12 14:58:52.189066,2022-06-12 14:58:53.155295,0 days 00:00:00.966229,6.46586790838215,svd,COMPLETE
711,0.9648692737989603,2022-06-12 14:58:53.155919,2022-06-12 14:58:54.126812,0 days 00:00:00.970893,6.893984898983906,svd,COMPLETE
712,0.9648692737989603,2022-06-12 14:58:54.127381,2022-06-12 14:58:55.091767,0 days 00:00:00.964386,6.295681992533233,svd,COMPLETE
713,0.9648692737989603,2022-06-12 14:58:55.092356,2022-06-12 14:58:56.316463,0 days 00:00:01.224107,6.705962188042955,svd,COMPLETE
714,0.9648692737989603,2022-06-12 14:58:56.317054,2022-06-12 14:58:57.254069,0 days 00:00:00.937015,6.601935632259339,svd,COMPLETE
715,0.9648692737989603,2022-06-12 14:58:57.254634,2022-06-12 14:58:58.218208,0 days 00:00:00.963574,6.178138680654408,svd,COMPLETE
716,0.9648692737989603,2022-06-12 14:58:58.218788,2022-06-12 14:58:59.188713,0 days 00:00:00.969925,6.886279100628031,svd,COMPLETE
717,0.9648692737989603,2022-06-12 14:58:59.189481,2022-06-12 14:59:00.149722,0 days 00:00:00.960241,6.458701571233663,svd,COMPLETE
718,0.9648692737989603,2022-06-12 14:59:00.150316,2022-06-12 14:59:01.113954,0 days 00:00:00.963638,6.333221099969397,svd,COMPLETE
719,0.9648692737989603,2022-06-12 14:59:01.114545,2022-06-12 14:59:02.074725,0 days 00:00:00.960180,4.520752847937908,svd,COMPLETE
977,0.9648692737989603,2022-06-12 15:03:15.470377,2022-06-12 15:03:16.479438,0 days 00:00:01.009061,7.183699504517986,svd,COMPLETE
720,0.9648692737989603,2022-06-12 14:59:02.075353,2022-06-12 14:59:03.035371,0 days 00:00:00.960018,4.7196369231179,svd,COMPLETE
976,0.9648692737989603,2022-06-12 15:03:14.463894,2022-06-12 15:03:15.469605,0 days 00:00:01.005711,7.4264289472653475,svd,COMPLETE
722,0.9648692737989603,2022-06-12 14:59:03.997333,2022-06-12 14:59:04.958664,0 days 00:00:00.961331,4.89071170038105,svd,COMPLETE
723,0.9648692737989603,2022-06-12 14:59:04.959249,2022-06-12 14:59:05.925896,0 days 00:00:00.966647,5.0175968744163,svd,COMPLETE
724,0.9648692737989603,2022-06-12 14:59:05.926495,2022-06-12 14:59:06.888143,0 days 00:00:00.961648,4.651399845781938,svd,COMPLETE
725,0.9648692737989603,2022-06-12 14:59:06.888732,2022-06-12 14:59:07.848555,0 days 00:00:00.959823,5.015951726837946,svd,COMPLETE
726,0.9648692737989603,2022-06-12 14:59:07.849165,2022-06-12 14:59:08.811451,0 days 00:00:00.962286,3.689706438436987,svd,COMPLETE
727,0.9648692737989603,2022-06-12 14:59:08.812052,2022-06-12 14:59:09.770149,0 days 00:00:00.958097,4.5539089744606,svd,COMPLETE
728,0.9648692737989603,2022-06-12 14:59:09.770761,2022-06-12 14:59:10.727713,0 days 00:00:00.956952,3.6556160926309023,svd,COMPLETE
975,0.9648692737989603,2022-06-12 15:03:13.452949,2022-06-12 15:03:14.463104,0 days 00:00:01.010155,7.156229776197777,svd,COMPLETE
730,0.9648692737989603,2022-06-12 14:59:11.336307,2022-06-12 14:59:12.290460,0 days 00:00:00.954153,3.9459460029641895,svd,COMPLETE
731,0.9648692737989603,2022-06-12 14:59:12.291078,2022-06-12 14:59:13.249566,0 days 00:00:00.958488,4.293593166609732,svd,COMPLETE
721,0.9648692737989603,2022-06-12 14:59:03.035962,2022-06-12 14:59:03.996728,0 days 00:00:00.960766,4.775821135742056,svd,COMPLETE
707,0.9648692737989603,2022-06-12 14:58:49.656891,2022-06-12 14:58:50.618991,0 days 00:00:00.962100,6.613173978331092,svd,COMPLETE
706,0.9648692737989603,2022-06-12 14:58:48.692035,2022-06-12 14:58:49.656325,0 days 00:00:00.964290,6.8226364812314735,svd,COMPLETE
705,0.9648692737989603,2022-06-12 14:58:47.731624,2022-06-12 14:58:48.691434,0 days 00:00:00.959810,6.574238064602768,svd,COMPLETE
682,0.9648692737989603,2022-06-12 14:58:25.811754,2022-06-12 14:58:26.767354,0 days 00:00:00.955600,5.655878913365823,svd,COMPLETE
683,0.9648692737989603,2022-06-12 14:58:26.767904,2022-06-12 14:58:27.723822,0 days 00:00:00.955918,5.619021123487702,svd,COMPLETE
684,0.9648692737989603,2022-06-12 14:58:27.724425,2022-06-12 14:58:28.668266,0 days 00:00:00.943841,5.472349216128829,svd,COMPLETE
981,0.9648692737989603,2022-06-12 15:03:19.182453,2022-06-12 15:03:20.200975,0 days 00:00:01.018522,7.383559442415635,svd,COMPLETE
685,0.9648692737989603,2022-06-12 14:58:28.668829,2022-06-12 14:58:29.616675,0 days 00:00:00.947846,5.685354852604703,svd,COMPLETE
686,0.9648692737989603,2022-06-12 14:58:29.617237,2022-06-12 14:58:30.570678,0 days 00:00:00.953441,5.346163702339503,svd,COMPLETE
687,0.9648692737989603,2022-06-12 14:58:30.571271,2022-06-12 14:58:31.527094,0 days 00:00:00.955823,4.975152009696664,svd,COMPLETE
688,0.9648692737989603,2022-06-12 14:58:31.527741,2022-06-12 14:58:32.483464,0 days 00:00:00.955723,5.215732043206335,svd,COMPLETE
980,0.9648692737989603,2022-06-12 15:03:18.163085,2022-06-12 15:03:19.181689,0 days 00:00:01.018604,7.362513775054358,svd,COMPLETE
690,0.9648692737989603,2022-06-12 14:58:33.080357,2022-06-12 14:58:34.031495,0 days 00:00:00.951138,6.005536026157189,svd,COMPLETE
691,0.9648692737989603,2022-06-12 14:58:34.032077,2022-06-12 14:58:34.988335,0 days 00:00:00.956258,5.736269679303108,svd,COMPLETE
692,0.9648692737989603,2022-06-12 14:58:34.988894,2022-06-12 14:58:36.195744,0 days 00:00:01.206850,6.78862770765695,svd,COMPLETE
693,0.9648692737989603,2022-06-12 14:58:36.196328,2022-06-12 14:58:37.144278,0 days 00:00:00.947950,6.196649649129867,svd,COMPLETE
694,0.9648692737989603,2022-06-12 14:58:37.144850,2022-06-12 14:58:38.090674,0 days 00:00:00.945824,6.133530118113609,svd,COMPLETE
695,0.9648692737989603,2022-06-12 14:58:38.091239,2022-06-12 14:58:39.068450,0 days 00:00:00.977211,5.822867523865059,svd,COMPLETE
696,0.9648692737989603,2022-06-12 14:58:39.069037,2022-06-12 14:58:40.036784,0 days 00:00:00.967747,5.951431198929631,svd,COMPLETE
697,0.9648692737989603,2022-06-12 14:58:40.037347,2022-06-12 14:58:40.992627,0 days 00:00:00.955280,6.071028801738617,svd,COMPLETE
698,0.9648692737989603,2022-06-12 14:58:40.993219,2022-06-12 14:58:41.952618,0 days 00:00:00.959399,6.261350714401663,svd,COMPLETE
699,0.9648692737989603,2022-06-12 14:58:41.953190,2022-06-12 14:58:42.917036,0 days 00:00:00.963846,6.623472174721864,svd,COMPLETE
700,0.9648692737989603,2022-06-12 14:58:42.917598,2022-06-12 14:58:43.896927,0 days 00:00:00.979329,6.401379496039339,svd,COMPLETE
701,0.9648692737989603,2022-06-12 14:58:43.897498,2022-06-12 14:58:44.860415,0 days 00:00:00.962917,5.467997617151605,svd,COMPLETE
702,0.9648692737989603,2022-06-12 14:58:44.860994,2022-06-12 14:58:45.815565,0 days 00:00:00.954571,6.464419058301778,svd,COMPLETE
978,0.9648692737989603,2022-06-12 15:03:16.480188,2022-06-12 15:03:17.491441,0 days 00:00:01.011253,7.126955392202449,svd,COMPLETE
703,0.9648692737989603,2022-06-12 14:58:45.816185,2022-06-12 14:58:46.771671,0 days 00:00:00.955486,5.8986986349584525,svd,COMPLETE
704,0.9648692737989603,2022-06-12 14:58:46.772254,2022-06-12 14:58:47.731061,0 days 00:00:00.958807,6.330302830953879,svd,COMPLETE
627,0.9648692737989603,2022-06-12 14:57:33.919715,2022-06-12 14:57:35.132389,0 days 00:00:01.212674,8.373875524150431,svd,COMPLETE
626,0.9648692737989603,2022-06-12 14:57:32.966248,2022-06-12 14:57:33.919173,0 days 00:00:00.952925,8.770232460047133,svd,COMPLETE
625,0.9648692737989603,2022-06-12 14:57:32.021158,2022-06-12 14:57:32.965707,0 days 00:00:00.944549,8.578616876641517,svd,COMPLETE
