iteration,f1_weighted,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
744,0.9616304040908983,2022-07-02 22:33:06.631119,2022-07-02 22:33:14.947533,0 days 00:00:08.316414,0.5,0.5773170378496104,262,27524743,l1,4.181264668338039e-05,COMPLETE
231,0.9616304040908983,2022-07-02 21:37:41.520118,2022-07-02 21:37:49.027394,0 days 00:00:07.507276,0.5,0.05660922368967407,128,26946554,l1,0.0018822145286667127,COMPLETE
339,0.9616304040908983,2022-07-02 21:49:20.787477,2022-07-02 21:49:29.198776,0 days 00:00:08.411299,0.5,0.6231776162335471,446,2867416,l1,0.00013245167270280666,COMPLETE
976,0.9616304040908983,2022-07-02 22:58:22.304707,2022-07-02 22:58:30.782099,0 days 00:00:08.477392,0.5,0.6640962965016011,372,18227121,l1,9.414203300070598e-05,COMPLETE
420,0.961629385977886,2022-07-02 21:57:52.186062,2022-07-02 21:58:00.803917,0 days 00:00:08.617855,9.6,0.012201522258900446,149,28159755,l1,6.597540535588685e-05,COMPLETE
331,0.961629106007634,2022-07-02 21:48:27.625639,2022-07-02 21:48:35.252387,0 days 00:00:07.626748,0.30000000000000004,0.033302215085879376,131,34177908,l1,0.002037412842681012,COMPLETE
258,0.961629106007634,2022-07-02 21:40:49.198628,2022-07-02 21:40:56.763115,0 days 00:00:07.564487,0.30000000000000004,0.002574947769374081,121,36050958,l1,0.001992259318931572,COMPLETE
162,0.9616288260253713,2022-07-02 21:29:53.855809,2022-07-02 21:30:01.751453,0 days 00:00:07.895644,1.2000000000000002,0.6756224157676131,452,11308402,l1,0.0001970497012640758,COMPLETE
613,0.9616285460310973,2022-07-02 22:18:34.476905,2022-07-02 22:18:42.082118,0 days 00:00:07.605213,0.7000000000000001,0.7980199245506463,452,42660166,l1,0.001903540596535559,COMPLETE
766,0.9616269679870181,2022-07-02 22:35:31.647497,2022-07-02 22:35:40.020214,0 days 00:00:08.372717,0.7000000000000001,0.07303962359414162,103,20360930,l1,1.9296881530483836e-05,COMPLETE
718,0.9616269679870181,2022-07-02 22:30:15.625043,2022-07-02 22:30:23.314113,0 days 00:00:07.689070,0.7000000000000001,0.07916365798082192,97,22280263,l1,0.0020458585513188944,COMPLETE
978,0.9616269679870181,2022-07-02 22:58:39.116167,2022-07-02 22:58:47.121586,0 days 00:00:08.005419,0.7000000000000001,0.6861061771231816,64,33945040,l1,0.001903392109584826,COMPLETE
281,0.9616269679870181,2022-07-02 21:43:06.918817,2022-07-02 21:43:14.817776,0 days 00:00:07.898959,0.7000000000000001,0.033894036301611814,144,32843872,l1,0.0018373486465381344,COMPLETE
216,0.9616269679870181,2022-07-02 21:35:57.555763,2022-07-02 21:36:05.676555,0 days 00:00:08.120792,0.7000000000000001,0.013061084033444942,484,1146106,l1,8.774189600467899e-05,COMPLETE
264,0.9616226919866413,2022-07-02 21:41:32.744508,2022-07-02 21:41:40.396861,0 days 00:00:07.652353,0.4,0.03962215771888103,137,32044274,l1,5.9453126557615734e-05,COMPLETE
936,0.9616226919866413,2022-07-02 22:54:00.069215,2022-07-02 22:54:08.206112,0 days 00:00:08.136897,0.4,0.5844562502640691,50,21043411,l1,0.0018707216760223738,COMPLETE
792,0.9616205540068801,2022-07-02 22:38:10.097577,2022-07-02 22:38:17.946855,0 days 00:00:07.849278,0.4,0.7208448764208272,434,41888846,l1,0.0018853866269292227,COMPLETE
241,0.9616205540068801,2022-07-02 21:38:57.009129,2022-07-02 21:39:05.147832,0 days 00:00:08.138703,0.4,0.0005477346811836145,134,31625397,l1,0.00024459757077398216,COMPLETE
864,0.9616205540068801,2022-07-02 22:46:19.920578,2022-07-02 22:46:27.876074,0 days 00:00:07.955496,0.7000000000000001,0.048629100039066175,425,1869533,l1,0.0018144968671506179,COMPLETE
256,0.9616199939454179,2022-07-02 21:40:34.670265,2022-07-02 21:40:43.036777,0 days 00:00:08.366512,0.1,0.03597769785285386,121,29674889,l1,2.1534735997377085e-05,COMPLETE
790,0.9616171181539889,2022-07-02 22:37:55.182588,2022-07-02 22:38:02.725077,0 days 00:00:07.542489,3.5000000000000004,0.7161549637682296,111,30914716,l1,0.002257282650574409,COMPLETE
308,0.9616083888591939,2022-07-02 21:46:07.590384,2022-07-02 21:46:14.906250,0 days 00:00:07.315866,0.1,0.6072739893660193,172,27310598,l1,0.0027610305359413124,COMPLETE
675,0.9616067088057074,2022-07-02 22:25:29.145366,2022-07-02 22:25:37.071237,0 days 00:00:07.925871,5.8,0.02320179222671792,420,26788388,l1,0.001806743951254651,COMPLETE
989,0.9616064287547527,2022-07-02 22:59:58.701565,2022-07-02 23:00:07.525303,0 days 00:00:08.823738,0.5,0.09175934524731094,311,41419508,l1,3.4572475379402354e-05,COMPLETE
72,0.9616024331625191,2022-07-02 21:20:52.200155,2022-07-02 21:20:59.431449,0 days 00:00:07.231294,0.7000000000000001,0.03153578900266951,485,2629710,l1,0.0024600484088896316,COMPLETE
354,0.9616002953613415,2022-07-02 21:50:45.909526,2022-07-02 21:50:53.296177,0 days 00:00:07.386651,0.1,0.09789379358314548,85,5252356,l1,0.002032188320762815,COMPLETE
280,0.9615962998917948,2022-07-02 21:42:59.014101,2022-07-02 21:43:06.918514,0 days 00:00:07.904413,0.30000000000000004,0.0814218240701862,129,29396912,l1,0.0002226515791345134,COMPLETE
112,0.9615928646733956,2022-07-02 21:24:44.109135,2022-07-02 21:24:51.314981,0 days 00:00:07.205846,4.5,0.21004093367685236,482,15845131,l1,0.0025753801440872434,COMPLETE
418,0.9615928646733956,2022-07-02 21:57:38.758003,2022-07-02 21:57:46.092576,0 days 00:00:07.334573,6.0,0.7571240189438814,491,6810625,l1,0.0026843155016622084,COMPLETE
111,0.961590446894932,2022-07-02 21:24:36.765623,2022-07-02 21:24:44.108921,0 days 00:00:07.343298,3.8000000000000003,0.16938039554415046,484,15300125,l1,0.0023493030951554535,COMPLETE
