iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
920,0.980779471098087,2022-06-13 23:11:21.522234,2022-06-13 23:11:22.356188,0 days 00:00:00.833954,1.923472346648024,2179469.0,random,0.09733354368239605,COMPLETE
917,0.980779471098087,2022-06-13 23:11:18.677036,2022-06-13 23:11:19.760171,0 days 00:00:01.083135,1.9947337755050822,552781.0,random,0.07140115126702963,COMPLETE
913,0.980779471098087,2022-06-13 23:11:15.271872,2022-06-13 23:11:16.141415,0 days 00:00:00.869543,1.9282751667482603,1274150.0,random,0.05812770963251182,COMPLETE
911,0.980779471098087,2022-06-13 23:11:13.587881,2022-06-13 23:11:14.438921,0 days 00:00:00.851040,1.9987301254855934,9485490.0,random,0.08958927220733728,COMPLETE
943,0.980779471098087,2022-06-13 23:11:41.927512,2022-06-13 23:11:42.786515,0 days 00:00:00.859003,1.9238001244912473,8962547.0,random,0.0932368947519975,COMPLETE
898,0.980779471098087,2022-06-13 23:11:02.202311,2022-06-13 23:11:03.272775,0 days 00:00:01.070464,1.9939231623316414,7501934.0,random,0.09679261374835,COMPLETE
896,0.980779471098087,2022-06-13 23:11:00.553228,2022-06-13 23:11:01.383404,0 days 00:00:00.830176,1.997466135731576,8437874.0,random,0.09323894155412105,COMPLETE
894,0.980779471098087,2022-06-13 23:10:58.873726,2022-06-13 23:10:59.719152,0 days 00:00:00.845426,1.9929645207876776,1409472.0,random,0.07989526833851822,COMPLETE
889,0.980779471098087,2022-06-13 23:10:54.718074,2022-06-13 23:10:55.552677,0 days 00:00:00.834603,1.9985337547219642,8738495.0,random,0.09719119372633665,COMPLETE
886,0.980779471098087,2022-06-13 23:10:51.963031,2022-06-13 23:10:52.799558,0 days 00:00:00.836527,1.994072361884613,9684393.0,random,0.09976411878491119,COMPLETE
885,0.980779471098087,2022-06-13 23:10:51.144701,2022-06-13 23:10:51.962402,0 days 00:00:00.817701,1.997136010388775,2088469.0,random,0.09795560607848357,COMPLETE
881,0.980779471098087,2022-06-13 23:10:47.796787,2022-06-13 23:10:48.630311,0 days 00:00:00.833524,1.9202110837880704,3731114.0,random,0.06213370120926024,COMPLETE
874,0.980779471098087,2022-06-13 23:10:41.739108,2022-06-13 23:10:42.572966,0 days 00:00:00.833858,1.997562802171968,8168868.0,random,0.09229711616484004,COMPLETE
872,0.980779471098087,2022-06-13 23:10:40.097214,2022-06-13 23:10:40.912475,0 days 00:00:00.815261,1.9983678370472269,8845573.0,random,0.09482916276924953,COMPLETE
