iteration,roc_weighted,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
380,0.8800529377570592,2022-07-03 01:06:35.635759,2022-07-03 01:06:38.047014,0 days 00:00:02.411255,8.7,0.43472518938642435,66,9267864,l1,0.00590310913719381,COMPLETE
999,0.8800529377570592,2022-07-03 01:33:39.856432,2022-07-03 01:33:42.648309,0 days 00:00:02.791877,8.7,0.3791134639364963,422,9553365,l1,0.008378675963956733,COMPLETE
564,0.8797764298522668,2022-07-03 01:14:28.723911,2022-07-03 01:14:31.386934,0 days 00:00:02.663023,9.700000000000001,0.2548507017191198,249,6666598,l1,0.003556544879994568,COMPLETE
119,0.8796706768433078,2022-07-03 00:58:21.695391,2022-07-03 00:58:24.348780,0 days 00:00:02.653389,3.1,0.2657445631034628,61,10030891,l1,0.002777674957718952,COMPLETE
427,0.8791845566996853,2022-07-03 01:08:27.406045,2022-07-03 01:08:30.153710,0 days 00:00:02.747665,9.0,0.423334814045935,384,42227584,l1,0.004394020661417232,COMPLETE
347,0.8790020167929694,2022-07-03 01:05:23.651457,2022-07-03 01:05:25.757105,0 days 00:00:02.105648,1.3000000000000003,0.43828345379059785,68,5671427,l1,0.004293031069713411,COMPLETE
365,0.8788928641386532,2022-07-03 01:06:01.685619,2022-07-03 01:06:03.982696,0 days 00:00:02.297077,8.8,0.41535813769641167,57,6841739,l1,0.00696559227545695,COMPLETE
797,0.8788837108205753,2022-07-03 01:25:06.404801,2022-07-03 01:25:09.143182,0 days 00:00:02.738381,8.8,0.13786966813650867,235,9645700,l1,0.003496527099992591,COMPLETE
332,0.8785935244165113,2022-07-03 01:04:50.668561,2022-07-03 01:04:53.361982,0 days 00:00:02.693421,2.0,0.8171443713240253,68,7623403,l1,0.0037837758835503805,COMPLETE
630,0.8785328945854367,2022-07-03 01:17:48.171110,2022-07-03 01:17:51.090273,0 days 00:00:02.919163,6.7,0.40348134282870435,499,4569514,l1,0.008499243776643725,COMPLETE
379,0.8785172345161545,2022-07-03 01:06:32.292715,2022-07-03 01:06:35.635391,0 days 00:00:03.342676,8.6,0.4275052807735578,67,7896113,l1,0.005871635204681213,COMPLETE
398,0.8784927501267324,2022-07-03 01:07:15.375785,2022-07-03 01:07:18.005274,0 days 00:00:02.629489,8.6,0.4415298246973642,50,40995543,l1,0.00452118797556942,COMPLETE
649,0.8783845771745441,2022-07-03 01:18:34.567202,2022-07-03 01:18:37.428078,0 days 00:00:02.860876,6.5,0.1926979834922009,475,17900756,l1,0.004867876514863877,COMPLETE
739,0.8783807169902133,2022-07-03 01:22:24.169068,2022-07-03 01:22:27.346801,0 days 00:00:03.177733,4.0,0.2322354756888304,499,9185987,l1,0.0036207158176772606,COMPLETE
449,0.878335155148412,2022-07-03 01:09:24.598336,2022-07-03 01:09:27.540659,0 days 00:00:02.942323,8.8,0.42368146027101317,408,40934879,l1,0.006370341956925634,COMPLETE
409,0.8783349358164534,2022-07-03 01:07:39.555666,2022-07-03 01:07:42.290489,0 days 00:00:02.734823,8.1,0.4463477300114575,63,45334194,l1,0.010327647333654249,COMPLETE
967,0.8782032581769711,2022-07-03 01:32:22.698670,2022-07-03 01:32:25.793256,0 days 00:00:03.094586,9.2,0.3304189591574942,489,4843193,l1,0.012959302098021989,COMPLETE
464,0.8782015035213027,2022-07-03 01:09:57.070499,2022-07-03 01:10:00.282269,0 days 00:00:03.211770,8.3,0.4157236548612346,346,44639270,l1,0.005633203577035863,COMPLETE
591,0.878018634616649,2022-07-03 01:16:05.338506,2022-07-03 01:16:08.147926,0 days 00:00:02.809420,8.6,0.3079156180946159,390,8970470,l1,0.0020840965400064876,COMPLETE
473,0.8780153081788437,2022-07-03 01:10:18.700992,2022-07-03 01:10:21.121826,0 days 00:00:02.420834,0.30000000000000004,0.4339552051458674,398,42690746,l1,0.012638957522256527,COMPLETE
547,0.8779980395782994,2022-07-03 01:13:48.152873,2022-07-03 01:13:50.771920,0 days 00:00:02.619047,9.6,0.22860533263807883,186,8168957,l1,0.0002609465096548658,COMPLETE
965,0.8779656081965713,2022-07-03 01:32:17.766452,2022-07-03 01:32:20.421447,0 days 00:00:02.654995,9.5,0.36533070839716786,418,7252174,l1,0.009155229081823573,COMPLETE
571,0.8779486248438525,2022-07-03 01:14:49.322302,2022-07-03 01:14:51.840488,0 days 00:00:02.518186,9.5,0.281475503960063,464,11002252,l1,0.004208462573446576,COMPLETE
833,0.8779243670780743,2022-07-03 01:26:40.405504,2022-07-03 01:26:43.534882,0 days 00:00:03.129378,8.0,0.43251313938779956,446,4357452,l1,1.331310428833275e-05,COMPLETE
304,0.877887190892496,2022-07-03 01:03:54.365500,2022-07-03 01:03:56.920075,0 days 00:00:02.554575,1.5000000000000002,0.6508568571515579,101,3732837,l1,0.008034993494145482,COMPLETE
837,0.8778816930101613,2022-07-03 01:26:50.389357,2022-07-03 01:26:53.269029,0 days 00:00:02.879672,8.0,0.20100421724991338,460,8052337,l1,2.3089084525337022e-05,COMPLETE
913,0.8778703026223856,2022-07-03 01:30:01.221572,2022-07-03 01:30:03.671787,0 days 00:00:02.450215,9.3,0.27683659582819803,401,4561178,l1,0.004438543376839635,COMPLETE
983,0.8778703026223856,2022-07-03 01:33:00.800355,2022-07-03 01:33:03.733845,0 days 00:00:02.933490,9.3,0.23060259378827908,468,8150910,l1,0.0017353145460614204,COMPLETE
676,0.8778703026223856,2022-07-03 01:19:39.054451,2022-07-03 01:19:41.605089,0 days 00:00:02.550638,9.3,0.23627440217966994,490,6768388,l1,0.0022091837749776016,COMPLETE
577,0.8777579259045578,2022-07-03 01:15:22.569055,2022-07-03 01:15:26.041475,0 days 00:00:03.472420,9.3,0.22515402567124126,386,8936363,l1,0.00023662419948055572,COMPLETE
279,0.877641089630705,2022-07-03 01:03:07.999998,2022-07-03 01:03:10.525712,0 days 00:00:02.525714,1.9000000000000001,0.562527623832809,141,32730285,l1,0.007925802410084122,COMPLETE
959,0.8775768699890557,2022-07-03 01:32:02.942092,2022-07-03 01:32:05.852698,0 days 00:00:02.910606,9.8,0.350322766442494,486,5762048,l1,0.01215064915251831,COMPLETE
410,0.8775002292157048,2022-07-03 01:07:42.290851,2022-07-03 01:07:44.563494,0 days 00:00:02.272643,8.1,0.444216094525966,68,41540696,l1,0.011534607711723403,COMPLETE
570,0.8774985477675888,2022-07-03 01:14:46.350273,2022-07-03 01:14:49.321748,0 days 00:00:02.971475,9.6,0.35511209474774275,458,8774925,l1,0.0019545334180560425,COMPLETE
744,0.8774597557590625,2022-07-03 01:22:36.953410,2022-07-03 01:22:39.396938,0 days 00:00:02.443528,8.1,0.3256011015402293,375,10790794,l1,0.004769429724071649,COMPLETE
823,0.8773093255278223,2022-07-03 01:26:10.470742,2022-07-03 01:26:13.138103,0 days 00:00:02.667361,8.8,0.2598924244620596,424,7980955,l1,0.008242217526524029,COMPLETE
858,0.8772519783844407,2022-07-03 01:27:41.999175,2022-07-03 01:27:45.024433,0 days 00:00:03.025258,10.0,0.19853903559721173,480,6231515,l1,0.008247851112814224,COMPLETE
428,0.8770813699037114,2022-07-03 01:08:30.154081,2022-07-03 01:08:32.946812,0 days 00:00:02.792731,9.4,0.4195938761731651,394,42844179,l1,0.0018359117306032957,COMPLETE
