iteration,roc_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
74,0.870758160764657,2022-06-11 09:24:28.170694,2022-06-11 09:25:48.868291,0 days 00:01:20.697597,47.0,476.0,126.0,2.0,326.0,286.0,COMPLETE
81,0.8707491171125584,2022-06-11 09:34:09.519394,2022-06-11 09:35:29.079147,0 days 00:01:19.559753,47.0,492.0,96.0,2.0,326.0,282.0,COMPLETE
114,0.8707471285415607,2022-06-11 10:20:59.612773,2022-06-11 10:22:16.900105,0 days 00:01:17.287332,15.0,488.0,85.0,20.0,384.0,277.0,COMPLETE
240,0.8707185646358492,2022-06-11 13:11:33.584200,2022-06-11 13:12:58.537471,0 days 00:01:24.953271,40.0,500.0,143.0,11.0,194.0,306.0,COMPLETE
99,0.8707112829311046,2022-06-11 09:59:37.252897,2022-06-11 10:01:02.899939,0 days 00:01:25.647042,21.0,480.0,129.0,15.0,356.0,304.0,COMPLETE
247,0.8707070937488356,2022-06-11 13:20:55.472238,2022-06-11 13:22:09.701887,0 days 00:01:14.229649,41.0,477.0,139.0,8.0,232.0,269.0,COMPLETE
110,0.8706176588050346,2022-06-11 10:15:34.064219,2022-06-11 10:17:02.425419,0 days 00:01:28.361200,37.0,495.0,122.0,14.0,414.0,311.0,COMPLETE
202,0.8706089514425595,2022-06-11 12:21:31.681630,2022-06-11 12:22:51.605773,0 days 00:01:19.924143,49.0,485.0,141.0,8.0,164.0,288.0,COMPLETE
204,0.8706024373996697,2022-06-11 12:24:06.834961,2022-06-11 12:25:23.909450,0 days 00:01:17.074489,48.0,488.0,137.0,7.0,168.0,281.0,COMPLETE
171,0.8705781796338915,2022-06-11 11:38:34.227649,2022-06-11 11:39:56.359007,0 days 00:01:22.131358,44.0,495.0,148.0,11.0,227.0,290.0,COMPLETE
208,0.8705590980441956,2022-06-11 12:29:27.474238,2022-06-11 12:30:41.947071,0 days 00:01:14.472833,46.0,490.0,143.0,6.0,245.0,264.0,COMPLETE
207,0.870528333527213,2022-06-11 12:28:07.206686,2022-06-11 12:29:27.473960,0 days 00:01:20.267274,43.0,478.0,139.0,7.0,194.0,289.0,COMPLETE
93,0.8705232597254247,2022-06-11 09:50:38.657250,2022-06-11 09:52:04.048050,0 days 00:01:25.390800,48.0,459.0,135.0,10.0,499.0,293.0,COMPLETE
224,0.8705201672029488,2022-06-11 12:50:21.092256,2022-06-11 12:51:45.273675,0 days 00:01:24.181419,42.0,500.0,143.0,9.0,198.0,305.0,COMPLETE
89,0.870513879783703,2022-06-11 09:45:22.923136,2022-06-11 09:46:34.110264,0 days 00:01:11.187128,23.0,483.0,83.0,14.0,441.0,247.0,COMPLETE
200,0.8705046240913312,2022-06-11 12:18:57.712629,2022-06-11 12:20:10.643906,0 days 00:01:12.931277,42.0,471.0,130.0,8.0,130.0,267.0,COMPLETE
248,0.8704959094371705,2022-06-11 13:22:09.702319,2022-06-11 13:23:20.107525,0 days 00:01:10.405206,42.0,491.0,147.0,9.0,194.0,253.0,COMPLETE
83,0.8704874141149685,2022-06-11 09:36:43.817513,2022-06-11 09:38:04.215221,0 days 00:01:20.397708,47.0,494.0,98.0,3.0,324.0,285.0,COMPLETE
104,0.8704770544711187,2022-06-11 10:06:48.456579,2022-06-11 10:08:08.114395,0 days 00:01:19.657816,23.0,476.0,136.0,13.0,328.0,285.0,COMPLETE
252,0.8704356891032714,2022-06-11 13:27:21.419677,2022-06-11 13:28:39.907498,0 days 00:01:18.487821,43.0,495.0,140.0,9.0,199.0,278.0,COMPLETE
276,0.870429737973649,2022-06-11 14:00:37.483871,2022-06-11 14:02:48.445086,0 days 00:02:10.961215,39.0,494.0,143.0,7.0,198.0,475.0,COMPLETE
178,0.8704244521315874,2022-06-11 11:47:55.947467,2022-06-11 11:49:10.519894,0 days 00:01:14.572427,42.0,482.0,146.0,12.0,205.0,265.0,COMPLETE
94,0.870391472419963,2022-06-11 09:52:04.048251,2022-06-11 09:53:39.017708,0 days 00:01:34.969457,28.0,483.0,102.0,3.0,457.0,329.0,COMPLETE
87,0.8703888185614042,2022-06-11 09:42:42.286748,2022-06-11 09:44:00.665753,0 days 00:01:18.379005,41.0,466.0,125.0,4.0,309.0,274.0,COMPLETE
148,0.8703607079029806,2022-06-11 11:08:13.439285,2022-06-11 11:09:31.919702,0 days 00:01:18.480417,49.0,485.0,148.0,7.0,201.0,278.0,COMPLETE
214,0.8703590483299206,2022-06-11 12:37:13.915058,2022-06-11 12:38:25.499490,0 days 00:01:11.584432,42.0,495.0,128.0,8.0,165.0,257.0,COMPLETE
258,0.8703299360943126,2022-06-11 13:35:07.679359,2022-06-11 13:36:21.743886,0 days 00:01:14.064527,42.0,474.0,147.0,8.0,194.0,267.0,COMPLETE
68,0.8703095312211799,2022-06-11 09:17:42.443832,2022-06-11 09:18:43.445083,0 days 00:01:01.001251,47.0,492.0,77.0,2.0,291.0,213.0,COMPLETE
262,0.8702815302287357,2022-06-11 13:40:12.338962,2022-06-11 13:41:28.755304,0 days 00:01:16.416342,37.0,491.0,141.0,9.0,163.0,272.0,COMPLETE
297,0.8702784304145742,2022-06-11 14:31:48.938687,2022-06-11 14:33:12.394057,0 days 00:01:23.455370,41.0,491.0,141.0,5.0,213.0,296.0,COMPLETE
