iteration,recall,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
40,0.8127048054919909,2022-06-28 15:18:26.117989,2022-06-28 15:18:27.434349,0 days 00:00:01.316360,2.7,0.0007653522777108699,0.04846132050710056,10,5974,squared_hinge,8606586,True,l1,COMPLETE
58,0.8127048054919909,2022-06-28 15:18:55.474964,2022-06-28 15:18:57.011040,0 days 00:00:01.536076,7.4,0.00034703625961338445,0.03733656638414073,14,1344,squared_hinge,3788634,True,l1,COMPLETE
77,0.8127048054919909,2022-06-28 15:19:28.838826,2022-06-28 15:19:30.546595,0 days 00:00:01.707769,7.5,0.0006725578005874926,0.025899738798762482,10,5773,squared_hinge,1056317,False,l1,COMPLETE
61,0.8127048054919909,2022-06-28 15:18:59.442885,2022-06-28 15:19:00.878952,0 days 00:00:01.436067,1.0,0.00038950872653509836,0.032784403897688455,9,8841,squared_hinge,2627537,False,l1,COMPLETE
47,0.8127048054919909,2022-06-28 15:18:37.045496,2022-06-28 15:18:38.767334,0 days 00:00:01.721838,1.4000000000000001,0.0005818644252012456,0.033773370075719115,11,3137,squared_hinge,2984540,False,l1,COMPLETE
31,0.8127048054919909,2022-06-28 15:18:11.830557,2022-06-28 15:18:13.101234,0 days 00:00:01.270677,1.4000000000000001,0.00044333394734154903,0.03972564331019085,10,7928,squared_hinge,1324488,True,l1,COMPLETE
33,0.8127048054919909,2022-06-28 15:18:14.548011,2022-06-28 15:18:15.939823,0 days 00:00:01.391812,1.6,0.0005388175943997983,0.007371786948828264,12,9292,squared_hinge,2594350,True,l1,COMPLETE
14,0.8066819221967964,2022-06-28 15:17:43.782582,2022-06-28 15:17:45.217026,0 days 00:00:01.434444,0.2,0.0004855605352141303,0.015026659098282687,15,7221,squared_hinge,28317,False,l1,COMPLETE
3,0.0,2022-06-28 15:17:30.197481,2022-06-28 15:17:30.780302,0 days 00:00:00.582821,6.4,0.0002745471307741533,0.0012325279946968132,6,8207,hinge,9152115,True,l2,COMPLETE
2,0.0,2022-06-28 15:17:29.680819,2022-06-28 15:17:30.197361,0 days 00:00:00.516542,6.8,0.0007396168521885874,0.05200692542076608,19,4753,hinge,9003947,False,l2,COMPLETE
7,0.0,2022-06-28 15:17:34.733343,2022-06-28 15:17:35.276133,0 days 00:00:00.542790,2.4000000000000004,0.00027665157658825494,0.024020987025186662,19,3672,hinge,5232616,False,l2,COMPLETE
6,0.0,2022-06-28 15:17:33.921825,2022-06-28 15:17:34.733195,0 days 00:00:00.811370,1.7000000000000002,0.0002174381103389915,0.0315165024978225,13,3481,squared_hinge,6475894,False,l2,COMPLETE
46,0.0,2022-06-28 15:18:36.457191,2022-06-28 15:18:37.045345,0 days 00:00:00.588154,4.5,0.0004570863866829143,0.01598284563325511,12,8494,hinge,6881239,False,l2,COMPLETE
87,0.0,2022-06-28 15:19:43.613989,2022-06-28 15:19:44.257740,0 days 00:00:00.643751,0.30000000000000004,0.0004973099217232419,0.014705917175056163,6,7749,hinge,9347750,False,l2,COMPLETE
29,0.0,2022-06-28 15:18:09.933453,2022-06-28 15:18:10.532023,0 days 00:00:00.598570,2.3000000000000003,0.0003399472938847125,0.08659901157894287,17,6516,squared_hinge,4424753,True,l2,COMPLETE
70,0.0,2022-06-28 15:19:16.287251,2022-06-28 15:19:16.917774,0 days 00:00:00.630523,0.9,0.0005575474591091593,0.045561422727206265,8,9433,hinge,552980,False,l2,COMPLETE
34,0.0,2022-06-28 15:18:15.939960,2022-06-28 15:18:16.628051,0 days 00:00:00.688091,2.5000000000000004,0.0009433506921318717,0.046511036661152624,7,4441,hinge,694670,False,l2,COMPLETE
60,0.0,2022-06-28 15:18:58.821733,2022-06-28 15:18:59.442735,0 days 00:00:00.621002,8.7,0.0002708820643639865,0.04230237432479264,13,2808,squared_hinge,5609948,False,l2,COMPLETE
36,0.0,2022-06-28 15:18:18.316594,2022-06-28 15:18:18.931055,0 days 00:00:00.614461,0.1,0.0004333490988351339,0.05495863772375836,11,8289,hinge,7921701,False,l2,COMPLETE
38,0.0,2022-06-28 15:18:23.543477,2022-06-28 15:18:24.148161,0 days 00:00:00.604684,1.1,0.00035395752676833654,0.03729076411398177,13,9186,squared_hinge,2306241,False,l2,COMPLETE
1,0.0,2022-06-28 15:17:29.079552,2022-06-28 15:17:29.680715,0 days 00:00:00.601163,8.6,0.0009755385171056771,0.0012920863958503495,7,9045,squared_hinge,9870845,True,l2,COMPLETE
0,0.0,2022-06-28 15:17:28.540672,2022-06-28 15:17:29.079416,0 days 00:00:00.538744,1.7000000000000002,0.0003056228887135118,0.014080055961516891,11,455,hinge,9835926,True,l2,COMPLETE
