iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,fit_intercept,l1_ratio,max_iter,normalize,selection,tol,state
55,0.9783204210412195,2022-06-13 23:59:11.931729,2022-06-13 23:59:12.697403,0 days 00:00:00.765674,1.6259398275753096,True,0.44566424402721005,7376114.0,False,cyclic,0.01900434312764883,COMPLETE
13,0.978335436616569,2022-06-13 23:58:44.514294,2022-06-13 23:58:46.447740,0 days 00:00:01.933446,1.4287158728478975,True,0.9941316687050235,7264300.0,False,random,0.0011967213846635835,COMPLETE
42,0.9783404416127242,2022-06-13 23:59:04.290138,2022-06-13 23:59:05.033704,0 days 00:00:00.743566,1.8758856512358277,True,0.4026796918323555,8569748.0,False,cyclic,0.022563935840342882,COMPLETE
108,0.9783404416127242,2022-06-13 23:59:45.457521,2022-06-13 23:59:46.265082,0 days 00:00:00.807561,1.8849244932279536,True,0.30183355455103056,8649285.0,False,cyclic,0.01982071177545599,COMPLETE
6,0.9783427605678774,2022-06-13 23:58:39.532316,2022-06-13 23:58:40.240902,0 days 00:00:00.708586,0.7179783383664003,True,0.1327364585682047,3044559.0,False,random,0.040791559216186775,COMPLETE
115,0.9783454465110765,2022-06-13 23:59:50.007044,2022-06-13 23:59:50.781893,0 days 00:00:00.774849,1.9568160719828744,True,0.3031495091772056,8076674.0,False,cyclic,0.03034589163245508,COMPLETE
726,0.9783529536752391,2022-06-14 00:07:26.531654,2022-06-14 00:07:28.033791,0 days 00:00:01.502137,1.9665041894063608,True,0.9502314808590429,1976303.0,False,random,0.004912452634031179,COMPLETE
367,0.9783579583291132,2022-06-14 00:02:35.881785,2022-06-14 00:02:37.351845,0 days 00:00:01.470060,1.71825004762794,True,0.9754747299418944,2804813.0,False,random,0.007923082314209393,COMPLETE
791,0.9783629628852076,2022-06-14 00:08:26.614735,2022-06-14 00:08:27.994348,0 days 00:00:01.379613,1.9233190685713994,True,0.9829298002918669,2034852.0,False,random,0.01310346528722904,COMPLETE
983,0.9783654651265896,2022-06-14 00:11:37.182073,2022-06-14 00:11:38.670838,0 days 00:00:01.488765,1.902253798641904,True,0.9993907339229127,2096362.0,False,random,0.018580938250933238,COMPLETE
120,0.9783729717040845,2022-06-13 23:59:53.469515,2022-06-13 23:59:54.230533,0 days 00:00:00.761018,1.709120097427448,True,0.3552686519470581,8320819.0,False,cyclic,0.027846867168670884,COMPLETE
118,0.9784455239497561,2022-06-13 23:59:52.072148,2022-06-13 23:59:52.809218,0 days 00:00:00.737070,1.8363400162947126,True,0.32378520328234167,9402622.0,False,cyclic,0.04992878737149535,COMPLETE
30,0.9784505267957838,2022-06-13 23:58:57.021620,2022-06-13 23:58:57.686782,0 days 00:00:00.665162,1.5701040246338185,True,0.42476966145624084,8909027.0,False,cyclic,0.030980980425011004,COMPLETE
383,0.9785099037641549,2022-06-14 00:02:48.639756,2022-06-14 00:02:49.492606,0 days 00:00:00.852850,0.14427353638760987,True,0.8917372987552454,3351968.0,False,random,0.0363035682757472,COMPLETE
36,0.9785699416942053,2022-06-13 23:59:00.897695,2022-06-13 23:59:01.521467,0 days 00:00:00.623772,1.344270522013893,True,0.08499774103425875,5672695.0,False,cyclic,0.033210375118833194,COMPLETE
10,0.9786487797650469,2022-06-13 23:58:41.651991,2022-06-13 23:58:42.497264,0 days 00:00:00.845273,1.4085230768811823,True,0.14584736463502976,3149305.0,False,random,0.0027562873066247218,COMPLETE
76,0.978728031825908,2022-06-13 23:59:25.548559,2022-06-13 23:59:26.228924,0 days 00:00:00.680365,1.9699903182525031,True,0.31700488100347035,6590465.0,False,cyclic,0.04498195671341011,COMPLETE
67,0.9787305305074822,2022-06-13 23:59:19.644583,2022-06-13 23:59:20.335981,0 days 00:00:00.691398,1.8627526723510162,True,0.34432282495644695,7011170.0,False,cyclic,0.046594140114144963,COMPLETE
84,0.9787305305074822,2022-06-13 23:59:30.489381,2022-06-13 23:59:31.186738,0 days 00:00:00.697357,1.7529792763444352,True,0.34079787586722604,7214688.0,False,cyclic,0.04316535344562025,COMPLETE
