iteration,roc_weighted,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
214,0.9929420077305332,2022-09-20 00:34:17.827467,2022-09-20 00:34:33.723933,0 days 00:00:15.896466,0.47301960666609394,0.690675801133754,0.0972877544603653,0.20171817485359914,7,5,599,1.5726140279634286,2.465057310464894,0.6450812949311221,COMPLETE
253,0.9929420077305332,2022-09-20 00:45:16.642387,2022-09-20 00:45:32.955941,0 days 00:00:16.313554,0.4501538191890707,0.6623205187095954,0.10385507703667927,0.20279437388603905,7,5,606,1.7217163271133908,2.496362956148995,0.6414065121294629,COMPLETE
296,0.9929420042213924,2022-09-20 00:58:26.693042,2022-09-20 00:58:46.944861,0 days 00:00:20.251819,0.4576268206652847,0.6550613689692241,0.05261103347371775,0.20611567928891955,7,5,642,1.3471217132760458,2.4730291354903176,0.6356282641083438,COMPLETE
190,0.9929419831665472,2022-09-20 00:27:03.497701,2022-09-20 00:27:21.206888,0 days 00:00:17.709187,0.45355603056871946,0.6506909583072782,0.06628326994081046,0.21064224948540222,7,5,594,1.4253831082866997,2.5312056920508974,0.6172765056177395,COMPLETE
93,0.992941941056857,2022-09-19 23:58:19.932287,2022-09-19 23:58:36.026130,0 days 00:00:16.093843,0.45829586451830145,0.6133921704126897,0.06233582031372285,0.20465774417278973,7,5,612,1.3010689585463897,2.42370189281311,0.634035479292952,COMPLETE
293,0.9929403936242795,2022-09-20 00:57:24.483510,2022-09-20 00:57:40.233932,0 days 00:00:15.750422,0.4540123136029412,0.649322696628072,0.023521209472888487,0.21189064546090486,7,5,598,1.32759832938567,2.569283409423605,0.6280355810255182,COMPLETE
201,0.99294035502373,2022-09-20 00:30:29.640504,2022-09-20 00:30:47.510707,0 days 00:00:17.870203,0.4563370805918119,0.6585388029180904,0.30588486221751243,0.20532620257149242,7,5,615,1.4699051441814732,2.4729826394464456,0.6425947127262928,COMPLETE
202,0.9929403023866171,2022-09-20 00:30:47.511099,2022-09-20 00:31:04.486784,0 days 00:00:16.975685,0.4617308860514512,0.650110149622444,0.03316498825573837,0.20854037328563796,7,5,621,1.4506026362384883,2.4984428355101573,0.6358077760076278,COMPLETE
195,0.9929402427312226,2022-09-20 00:28:43.150902,2022-09-20 00:29:02.561342,0 days 00:00:19.410440,0.44465761216121746,0.6379366485397797,0.05960478895150438,0.21211824789561365,7,5,603,1.3979553159645355,2.6095464166627997,0.6494885578051871,COMPLETE
212,0.9929386882803635,2022-09-20 00:33:42.477573,2022-09-20 00:34:01.214339,0 days 00:00:18.736766,0.4600421114893675,0.671493092809451,0.053565537189647905,0.2027779031321386,7,5,592,1.5951750048069893,2.5437871114064636,0.6384802531457582,COMPLETE
149,0.9929386672255183,2022-09-20 00:15:23.049255,2022-09-20 00:15:40.610711,0 days 00:00:17.561456,0.3578949149565634,0.6958685529313359,0.01718963950180029,0.20315820012782052,7,5,646,1.4525561771639017,2.4991503480519093,0.6425906236108417,COMPLETE
216,0.9929386531889548,2022-09-20 00:34:49.431628,2022-09-20 00:35:05.464419,0 days 00:00:16.032791,0.48227723835265424,0.6846949118360343,0.06812011846720015,0.20001238623000275,7,5,596,1.5158514198070494,2.46432433537804,0.6414834564986316,COMPLETE
10,0.9929386145884053,2022-09-19 23:25:48.520764,2022-09-19 23:26:25.596883,0 days 00:00:37.076119,0.4986515712335522,0.6829136684104352,0.040219804550571336,0.2042696194669809,13,4,535,1.5730833276594167,1.8854536987650685,0.6491629028666948,COMPLETE
258,0.9929370671558281,2022-09-20 00:46:41.711795,2022-09-20 00:46:59.104998,0 days 00:00:17.393203,0.44576649837308574,0.6571200159821753,0.12249094182441701,0.20818453715537139,7,5,609,1.365093823966167,2.476646902526929,0.6497070211698043,COMPLETE
125,0.9929370285552784,2022-09-20 00:08:08.181958,2022-09-20 00:08:25.314856,0 days 00:00:17.132898,0.43995423547100987,0.6511097190412715,0.017183013725097798,0.2120019783374352,7,5,602,1.304715012978702,2.4297650204947487,0.6448685839057436,COMPLETE
262,0.9929370215369967,2022-09-20 00:48:14.546610,2022-09-20 00:48:30.496736,0 days 00:00:15.950126,0.4509124040759049,0.6525022724856103,0.10127095053850307,0.20882258521744979,7,5,605,1.5000582437854895,2.4060949465254406,0.623784442701483,COMPLETE
227,0.992937018027856,2022-09-20 00:37:57.527854,2022-09-20 00:38:15.226736,0 days 00:00:17.698882,0.4529683792273931,0.6551215500488252,0.04265387753256998,0.20234315094297442,7,5,615,1.504900613307347,2.5288611000537227,0.6445774047364474,COMPLETE
87,0.9929370145187151,2022-09-19 23:56:28.422305,2022-09-19 23:56:46.688282,0 days 00:00:18.265977,0.4368208843831412,0.6413501344475063,0.11750174735277283,0.2121671169259435,7,6,638,1.4595064293067361,2.5727912238051345,0.6152311242505928,COMPLETE
239,0.9929369899547291,2022-09-20 00:41:21.990987,2022-09-20 00:41:40.059461,0 days 00:00:18.068474,0.4553640432828886,0.6688800139266462,0.048809832073522706,0.2000014065344335,7,5,590,1.6062163734141734,2.530620118998702,0.6295915850897272,COMPLETE
251,0.9929369724090248,2022-09-20 00:44:40.570568,2022-09-20 00:44:57.787506,0 days 00:00:17.216938,0.4589715446080716,0.6568418627450086,0.08937225040312494,0.20276720932007397,7,5,587,1.629692135303593,2.4034824157981727,0.6399251158115489,COMPLETE
44,0.9929354565587152,2022-09-19 23:43:41.491724,2022-09-19 23:43:59.043676,0 days 00:00:17.551952,0.4821088919745751,0.7712355609213781,0.005608478046581961,0.21834584935177206,7,7,628,1.15062374398549,1.8639629853569828,0.6334644036349942,COMPLETE
72,0.9929354039216021,2022-09-19 23:52:05.522646,2022-09-19 23:52:23.901835,0 days 00:00:18.379189,0.4755393303875617,0.7139613716331148,0.08052241348986974,0.20032382433247256,7,5,643,1.4363767230323217,2.468448400641742,0.6253048446068928,COMPLETE
292,0.9929354039216021,2022-09-20 00:57:05.575766,2022-09-20 00:57:24.483049,0 days 00:00:18.907283,0.4612584732536237,0.8139302960453016,0.11269268586079223,0.20442874108309897,7,5,623,1.5476909038894267,2.4839767137624365,0.6351864090802419,COMPLETE
254,0.9929353898850387,2022-09-20 00:45:32.956295,2022-09-20 00:45:50.584772,0 days 00:00:17.628477,0.454216546269498,0.6735971549152603,0.09399718784274774,0.20856527524144264,7,5,594,1.6534080652420522,2.4795087998289733,0.6449670891340736,COMPLETE
236,0.992935361811912,2022-09-20 00:40:32.287880,2022-09-20 00:40:48.542419,0 days 00:00:16.254539,0.45567331319158394,0.6590148262003078,0.01679515039462707,0.2056962962204321,7,5,616,1.477710274168914,2.420824779596923,0.6345242096888406,COMPLETE
126,0.9929353161930806,2022-09-20 00:08:25.315193,2022-09-20 00:08:43.768452,0 days 00:00:18.453259,0.43528900205064097,0.6600201623008978,0.035228014453990944,0.20624787069816888,7,5,615,1.338329303659659,2.536849675655434,0.6348787325649898,COMPLETE
118,0.99293531268394,2022-09-20 00:06:00.562327,2022-09-20 00:06:18.229253,0 days 00:00:17.666926,0.4669093956838138,0.6872702658950548,0.09089576087725817,0.20564181386071986,7,5,607,1.5072923861052159,2.4580904088455946,0.6369247157475194,COMPLETE
153,0.9929353021565172,2022-09-20 00:16:35.176061,2022-09-20 00:16:52.223447,0 days 00:00:17.047386,0.36112000792812937,0.6438044230708384,0.058355332626309854,0.20264552445751424,7,5,619,1.4839518527929179,2.461116708886736,0.6284259208576005,COMPLETE
158,0.9929352881199538,2022-09-20 00:18:00.774601,2022-09-20 00:18:17.660037,0 days 00:00:16.885436,0.4425624163678817,0.6597884139940896,0.07393987459406919,0.2023811558026123,7,5,591,1.4213582696324203,2.4507995343843048,0.6248076387365313,COMPLETE
80,0.9929337617422216,2022-09-19 23:54:25.594217,2022-09-19 23:54:42.934055,0 days 00:00:17.339838,0.44954927736536454,0.6502093158613595,0.20269033559041144,0.2077890963874813,7,5,660,1.499348744475918,2.327314361437621,0.6268678785478566,COMPLETE
178,0.9929337055959679,2022-09-20 00:23:43.959716,2022-09-20 00:24:00.934780,0 days 00:00:16.975064,0.45211504621962795,0.673951979144639,0.08868975738027943,0.2127961180891721,7,5,608,1.3349619725667625,2.4611599855249326,0.6399960857617522,COMPLETE
297,0.9929336599771367,2022-09-20 00:58:46.945361,2022-09-20 00:59:05.103983,0 days 00:00:18.158622,0.4640576619510284,0.6280437824170579,0.013938971334798534,0.20245364405173097,7,5,618,1.5288434897100383,2.527165593765799,0.6495682058631057,COMPLETE
255,0.9929336178674464,2022-09-20 00:45:50.585229,2022-09-20 00:46:07.086549,0 days 00:00:16.501320,0.4617874077490395,0.6477599358190201,0.06635186172827166,0.20558494563763097,7,5,601,1.6801291162361756,2.4507668080212293,0.6362401895693005,COMPLETE
192,0.9929320739440097,2022-09-20 00:27:38.692607,2022-09-20 00:27:54.873166,0 days 00:00:16.180559,0.46462598809744854,0.6650806656412374,0.09537204522517038,0.20795795722874102,7,5,616,1.3689273631522756,2.5869641909815777,0.634992131856069,COMPLETE
289,0.9929320599074464,2022-09-20 00:56:13.402888,2022-09-20 00:56:29.899193,0 days 00:00:16.496305,0.45635849369327164,0.6609566261499998,0.07029286936611073,0.20308957549808884,7,5,615,1.908481680598713,2.4559692291554307,0.6387354200258616,COMPLETE
169,0.9929319967429109,2022-09-20 00:21:13.083657,2022-09-20 00:21:30.015405,0 days 00:00:16.931748,0.44658693011265327,0.6394000740056887,0.022874768756860595,0.21047121793401471,7,6,613,1.47192261693788,2.3514654586779233,0.638100517003266,COMPLETE
163,0.9929319651606432,2022-09-20 00:19:28.157928,2022-09-20 00:19:44.697541,0 days 00:00:16.539613,0.44418671206913896,0.507687674837718,0.004405454680305336,0.20376512379869116,7,5,618,1.3218573882643334,2.5054332960469083,0.6499756151249976,COMPLETE
112,0.9929303966732205,2022-09-20 00:04:08.678854,2022-09-20 00:04:25.828319,0 days 00:00:17.149465,0.4688320394931838,0.5991989861174637,0.017205861813744727,0.20004927895362204,7,6,628,1.5681862989070723,2.824271000627652,0.6292243009337016,COMPLETE
291,0.9929303931640797,2022-09-20 00:56:45.934554,2022-09-20 00:57:05.575272,0 days 00:00:19.640718,0.4482655881771784,0.6396912641740536,0.09171944987270923,0.2001754433836125,8,5,633,1.5723381405426364,2.4457002805005006,0.6437736480507921,COMPLETE
182,0.992930386145798,2022-09-20 00:24:52.628367,2022-09-20 00:25:09.176965,0 days 00:00:16.548598,0.43573101321146634,0.6703173244687408,0.035675244412714885,0.20289524467108822,7,5,626,1.4639737105493411,2.5288803654376064,0.6251452212231435,COMPLETE
286,0.9929303686000938,2022-09-20 00:55:22.944778,2022-09-20 00:55:41.203163,0 days 00:00:18.258385,0.45863125489640016,0.6687515710728746,0.028883908814432882,0.20003242914528369,7,5,603,1.4762291440558089,2.472452192148508,0.6451680372663182,COMPLETE
54,0.9929288036218119,2022-09-19 23:46:34.855053,2022-09-19 23:46:50.472375,0 days 00:00:15.617322,0.47860780366969585,0.6635589684071977,0.6439677607340125,0.20505318054266594,8,8,520,1.5470552818521597,1.968734666044659,0.6056362172004284,COMPLETE
188,0.9929287895852484,2022-09-20 00:26:31.054381,2022-09-20 00:26:46.892357,0 days 00:00:15.837976,0.4583224036792126,0.6423920733841748,0.0877260730357856,0.2193948764990275,7,5,600,1.4328365443082787,2.512332183541196,0.6309128521659358,COMPLETE
138,0.9929270912596141,2022-09-20 00:12:01.312452,2022-09-20 00:12:20.669797,0 days 00:00:19.357345,0.428237292867076,0.641836978131573,0.07932073024890306,0.20434129366521986,7,5,657,1.35024370829991,2.477801407892783,0.6403934059875867,COMPLETE
114,0.9929255754093044,2022-09-20 00:04:44.978171,2022-09-20 00:05:05.741675,0 days 00:00:20.763504,0.45228567929949387,0.6907735496475854,0.1005878289171459,0.21017604043876986,8,5,644,1.5275084278262432,2.400804309626617,0.635511818858779,COMPLETE
209,0.9929254666259378,2022-09-20 00:32:53.913120,2022-09-20 00:33:11.303342,0 days 00:00:17.390222,0.4646213405650325,0.6627595348568865,0.048858479935751334,0.2000156154202602,7,5,587,1.5970032501828857,2.5122692269564175,0.6498519726679775,COMPLETE
181,0.99292543504367,2022-09-20 00:24:35.800533,2022-09-20 00:24:52.627990,0 days 00:00:16.827457,0.44804007032065823,0.6453202488265759,0.04861881878914733,0.2062986978521687,7,5,635,1.4863075253497346,2.5537844239914698,0.6358241048458094,COMPLETE
141,0.9929254069705432,2022-09-20 00:12:59.225592,2022-09-20 00:13:17.907920,0 days 00:00:18.682328,0.3702608899948654,0.6788531608652051,0.03814975005211928,0.20587760647886805,7,5,650,1.370685075432083,2.3855403251069887,0.6316744863274183,COMPLETE
127,0.9929253999522614,2022-09-20 00:08:43.768799,2022-09-20 00:09:01.480280,0 days 00:00:17.711481,0.449953143785466,0.674350911241061,0.010400898866750212,0.21781029765155954,7,5,638,1.3697211934753157,2.4805244465926264,0.6498786406798889,COMPLETE
