iteration,precision,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,params_reg_lambd,subsample,state
79,0.9997381803534565,2022-09-18 15:10:42.733416,2022-09-18 15:11:16.257309,0 days 00:00:33.523893,0.25036502099589353,0.8137103151486589,2.671306031538137,0.02192416015205852,16,5,536,0.5447803114028331,1.5519162828468667,0.650000609767788,COMPLETE
32,0.9997315129914152,2022-09-18 14:40:46.020157,2022-09-18 14:41:32.042681,0 days 00:00:46.022524,0.22526446823800314,0.7602106191540947,1.6044234999509426,0.024640343016536524,15,4,653,0.2686481701113898,2.158039568880949,0.7724879519961401,COMPLETE
60,0.9997249300584355,2022-09-18 15:00:15.215708,2022-09-18 15:00:39.717518,0 days 00:00:24.501810,0.338591070260294,0.6727598262041923,2.8763823964175823,0.04146686593407234,18,4,411,0.4066212759099422,1.6869045811931382,0.6725442097443325,COMPLETE
23,0.9997214596854843,2022-09-18 14:35:33.205667,2022-09-18 14:36:06.629216,0 days 00:00:33.423549,0.20696318422317767,0.8306458458459732,2.0929143042056704,0.02932014927903563,13,2,670,0.713094394339957,2.1872677628199493,0.7726258286222113,COMPLETE
40,0.9997148588719146,2022-09-18 14:46:43.304834,2022-09-18 14:47:25.605936,0 days 00:00:42.301102,0.28874586353008114,0.6527217663657184,1.5009384221324764,0.03168073624208585,16,5,582,0.683960378346254,1.6943644164189182,0.6943853572359022,COMPLETE
97,0.9997145764146097,2022-09-18 15:22:28.300338,2022-09-18 15:22:59.940134,0 days 00:00:31.639796,0.20006732127343416,0.6450852699411396,1.5135463596560366,0.03901292634186866,17,5,418,0.5182814266800749,2.204228305747135,0.6475041278625813,COMPLETE
56,0.9997081212739333,2022-09-18 14:57:57.489112,2022-09-18 14:58:30.757996,0 days 00:00:33.268884,0.29117014570369315,0.7281342954114423,2.5039282408995662,0.03222835684117563,18,5,499,0.6504297180570802,1.5738367686081909,0.6419878793544804,COMPLETE
46,0.9996947384310897,2022-09-18 14:51:26.063770,2022-09-18 14:52:08.497601,0 days 00:00:42.433831,0.3103343603935649,0.7187552183361052,1.4492910681254068,0.03157415452470192,19,4,495,2.0776042859382255,1.5035814319015512,0.7615284200029965,COMPLETE
45,0.999688007407308,2022-09-18 14:50:52.110899,2022-09-18 14:51:26.063426,0 days 00:00:33.952527,0.24798818004812492,0.6494354589825208,1.760132030303292,0.0500076815965604,17,5,513,0.17952608380274365,1.3570607671378347,0.7186949172167252,COMPLETE
86,0.9996779949820884,2022-09-18 15:15:02.356742,2022-09-18 15:15:48.095009,0 days 00:00:45.738267,0.2782708895213656,0.8026347472803528,2.2955049925275692,0.028385985846661577,20,3,605,0.6282353691612703,2.1286402436900467,0.7251537829227852,COMPLETE
67,0.9996779366474547,2022-09-18 15:03:56.797732,2022-09-18 15:04:33.734261,0 days 00:00:36.936529,0.35386171332077077,0.7569366806653023,2.246914355443419,0.025914806165620273,20,5,467,0.8548833500953976,1.30960729087943,0.5279597029697025,COMPLETE
68,0.9996712611829901,2022-09-18 15:04:33.734647,2022-09-18 15:05:06.856360,0 days 00:00:33.121713,0.334155214251338,0.6869626085331577,2.0126642297968997,0.03470565131290303,18,6,456,0.7870193325079466,1.5062384032587686,0.6636221369746255,COMPLETE
89,0.9996712126549578,2022-09-18 15:17:13.591612,2022-09-18 15:17:52.495871,0 days 00:00:38.904259,0.2568384949821158,0.878754399558748,2.054088484841904,0.025974823102753,17,5,493,0.5476957247782706,1.6809916195112047,0.763211966538927,COMPLETE
76,0.9996678743961352,2022-09-18 15:09:15.969625,2022-09-18 15:09:44.965832,0 days 00:00:28.996207,0.2098611830696559,0.8526174719163768,2.1232507030587406,0.04500836730757162,16,4,486,0.13054478931376978,1.7327118333932399,0.6936926553439811,COMPLETE
24,0.9996604848008122,2022-09-18 14:36:06.629473,2022-09-18 14:36:30.728512,0 days 00:00:24.099039,0.10102217768568603,0.940484699817016,2.4168427371096546,0.06212438340683462,16,4,573,0.38167954488914635,1.8668491623337284,0.7984881915516797,COMPLETE
80,0.99965464055794,2022-09-18 15:11:16.257661,2022-09-18 15:11:47.463518,0 days 00:00:31.205857,0.39740083338368487,0.7482467007457543,1.9250624140365433,0.03461380213778799,15,3,470,1.0343069267589788,1.63047890721678,0.6065755404475575,COMPLETE
55,0.9996545953903575,2022-09-18 14:57:24.903423,2022-09-18 14:57:57.488578,0 days 00:00:32.585155,0.3193530169837975,0.8380210003470735,2.349953242009254,0.03960455973878278,20,6,457,0.4431796102700098,1.4034104651625081,0.589351783712201,COMPLETE
28,0.9996478507155339,2022-09-18 14:37:43.216700,2022-09-18 14:38:18.461574,0 days 00:00:35.244874,0.23993697798850827,0.7705069773527078,2.07527130904933,0.04437791775979576,18,2,679,1.2251064817434718,2.434190236592425,0.6827605388477529,COMPLETE
33,0.9996412249318495,2022-09-18 14:41:32.043016,2022-09-18 14:42:19.877386,0 days 00:00:47.834370,0.27436493757360725,0.7472201439482005,1.1500860045495778,0.05076960622130841,16,3,686,0.05931484227459588,1.8790520577016636,0.7496300564856584,COMPLETE
38,0.9996379726468222,2022-09-18 14:45:44.132485,2022-09-18 14:46:13.850826,0 days 00:00:29.718341,0.3761138762306612,0.7415358907916216,1.3221565648496763,0.05187974410323263,13,4,514,0.5679304630958784,2.283380478994018,0.7663013626110038,COMPLETE
58,0.9996176959811128,2022-09-18 14:59:09.467802,2022-09-18 14:59:34.049936,0 days 00:00:24.582134,0.2691359394979295,0.8132714943542264,2.1925751523936654,0.057091776120778724,17,4,436,0.7566663537178527,1.233715727989336,0.6548867460767956,COMPLETE
27,0.9996075247896735,2022-09-18 14:37:27.296990,2022-09-18 14:37:43.216405,0 days 00:00:15.919415,0.18417140600598483,0.8143687810503619,2.9852993534918206,0.12206335357151274,16,1,636,0.8437061402722696,2.5883810017603874,0.7713534682942801,COMPLETE
